Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
1,1,O,O,O,O,organic,EB,SW," 119,860 "," 4,633 "," 124,493 ",1.56,48.06,1867,57603,40,2438,1907,60041,31
2,1,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 238,933 ",," 238,933 ",0.26,7.15,612,17094,,,,,
3,1,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 200,630 ",," 200,630 ",0.13,3.02,267,6051,,,,,
4,1,25-C,lower mineral,25-C,B,mineral,EB,SW," 572,595 ",," 572,595 ",0.12,2.38,678,13647,,,,,
5,1,C,lower mineral,C,C,mineral,EB,SW," 2,517,377 ",," 2,517,377 ",0.10,1.76,2621,44282,,,,,
6,2,O,O,O,O,organic,EB,SW," 277,111 "," 12,691 "," 289,802 ",1.64,50.24,4557,139207,165,6139,4722,145346,31
7,2,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 59,321 ",," 59,321 ",0.22,6.48,130,3844,,,,,
8,2,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 857,876 ",," 857,876 ",0.19,4.85,1621,41591,,,,,
9,2,25-C,lower mineral,25-C,B,mineral,EB,SW," 94,071 ",," 94,071 ",0.31,7.76,296,7301,,,,,
10,2,C,lower mineral,C,C,mineral,EB,SW," 2,228,512 ",," 2,228,512 ",0.21,4.58,4602,102085,,,,,
11,3,O,O,O,O,organic,EB,SW," 25,014 "," 6,302 "," 31,317 ",1.77,47.89,442,11981,82,3048,524,15029,29
12,3,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 72,007 ",," 72,007 ",0.24,5.79,170,4166,,,,,
13,3,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 590,040 ",," 590,040 ",0.23,5.90,1381,34833,,,,,
14,3,25-C,lower mineral,25-C,B,mineral,EB,SW," 648,087 ",," 648,087 ",0.19,4.33,1255,28049,,,,,
15,3,C,lower mineral,C,C,mineral,EB,SW," 1,598,893 ",," 1,598,893 ",0.08,1.30,1246,20844,,,,,
16,4,O,O,O,O,organic,EB,SW," 151,976 "," 7,191 "," 159,167 ",1.55,43.43,2363,66004,93,3478,2456,69482,28
17,4,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 178,043 ",," 178,043 ",0.23,5.90,418,10498,,,,,
18,4,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 828,655 ",," 828,655 ",0.20,4.88,1653,40433,,,,,
19,4,25-C,lower mineral,25-C,B,mineral,EB,SW," 488,659 ",," 488,659 ",0.14,3.00,698,14655,,,,,
20,4,C,lower mineral,C,C,mineral,EB,SW," 2,717,433 ",," 2,717,433 ",0.10,1.95,2832,52926,,,,,
21,5,O,O,O,O,organic,EB,SW," 155,918 "," 6,775 "," 162,693 ",1.33,36.88,2068,57501,69,3403,2137,60905,28
22,5,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 193,869 ",," 193,869 ",0.51,11.25,980,21804,,,,,
23,5,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 1,104,338 ",," 1,104,338 ",0.35,8.25,3836,91133,,,,,
24,5,25-C,lower mineral,25-C,B,mineral,EB,SW," 1,367,758 ",," 1,367,758 ",0.28,6.60,3765,90325,,,,,
25,5,C,lower mineral,C,C,mineral,EB,SW," 3,389,788 ",," 3,389,788 ",0.14,3.24,4622,109952,,,,,
26,6,O,O,O,O,organic,EB,HW," 232,190 "," 5,673 "," 237,863 ",1.01,21.49,2345,49904,40,2549,2386,52453,22
27,6,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 143,614 ",," 143,614 ",0.37,7.08,528,10173,,,,,
28,6,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 113,786 ",," 113,786 ",0.33,5.92,379,6737,,,,,
30,6,C,lower mineral,C,C,mineral,EB,HW," 850,829 ",," 850,829 ",0.35,6.20,3018,52724,,,,,
31,7,O,O,O,O,organic,EB,HW," 216,961 "," 6,845 "," 223,807 ",0.89,18.43,1929,39983,89,3311,2018,43294,21
32,7,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 140,724 ",," 140,724 ",0.35,7.08,499,9962,,,,,
33,7,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 63,291 ",," 63,291 ",0.31,6.17,198,3907,,,,,
36,8,O,O,O,O,organic,EB,HW," 172,470 "," 5,305 "," 177,776 ",0.87,17.39,1504,29995,63,2254,1567,32249,21
37,8,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 190,998 ",," 190,998 ",0.32,6.78,602,12955,,,,,
38,8,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 1,023,756 ",," 1,023,756 ",0.17,3.68,1727,37642,,,,,
39,8,25-C,lower mineral,25-C,B,mineral,EB,HW," 537,112 ",," 537,112 ",0.13,2.69,713,14456,,,,,
40,8,C,lower mineral,C,C,mineral,EB,HW," 3,038,597 ",," 3,038,597 ",0.10,1.86,2958,56466,,,,,
41,9,O,O,O,O,organic,EB,HW," 115,229 "," 1,904 "," 117,133 ",1.19,28.16,1373,32451,25,921,1398,33372,24
