sample_ID,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,,source_file,,,
LL 2002,-28.89,2276.82,,109.81,55.06,,BBWMLL5,A1,Forest Floor Litter,"13C,15N",YES,,4.84,604326,197472,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2004,-30.22,2132.63,,53.2,60.34,,BBWMLL5,A2,Forest Floor Litter,"13C,15N",YES,,4.88,604327,197473,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2005,-29.29,2158.91,,107.64,68.08,,BBWMLL5,A3,Forest Floor Litter,"13C,15N",YES,,4.85,604328,197474,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2012,-27.93,2093.15,,79.21,48.69,,BBWMLL5,A4,Forest Floor Litter,"13C,15N",YES,,4.31,604329,197475,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2014,-26.7,2132.63,,47.05,42.8,,BBWMLL5,A5,Forest Floor Litter,"13C,15N",YES,,4.43,604330,197476,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2015,-27.55,2172.04,,34.24,47.99,,BBWMLL5,A6,Forest Floor Litter,"13C,15N",YES,,4.47,604331,197477,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2022,-28.98,2237.58,,57.12,74.13,,BBWMLL5,A7,Forest Floor Litter,"13C,15N",YES,,4.93,604332,197478,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2024,-28.72,2224.49,,52.23,76.57,,BBWMLL5,A8,Forest Floor Litter,"13C,15N",YES,,4.85,604333,197479,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2025,-29.29,2185.17,,60.08,80.24,,BBWMLL5,A9,Forest Floor Litter,"13C,15N",YES,,4.83,604334,197480,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2033,-27.35,2106.32,,352.96,37.01,,BBWMLL5,A10,Forest Floor Litter,"13C,15N",YES,,4.31,604335,197481,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2034,-27.28,2185.17,,76.58,49.28,,BBWMLL5,A11,Forest Floor Litter,"13C,15N",YES,,4.34,604336,197482,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2035,-27.36,2237.58,,48.35,53.75,,BBWMLL5,A12,Forest Floor Litter,"13C,15N",YES,,4.45,604337,197483,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2102,-29.83,2237.58,,159.71,61.48,,BBWMLL5,B1,Forest Floor Litter,"13C,15N",YES,,4.88,604338,197487,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2104,-29.89,2237.58,,64.05,55.88,,BBWMLL5,B2,Forest Floor Litter,"13C,15N",YES,,4.83,604339,197488,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2105,-29.89,2263.75,,108.38,65.07,,BBWMLL5,B3,Forest Floor Litter,"13C,15N",YES,,4.83,604340,197489,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2112,-27.25,2172.04,,54.76,40.77,,BBWMLL5,B4,Forest Floor Litter,"13C,15N",YES,,4.41,604341,197490,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2114,-26.77,2185.17,,19.5,39.55,,BBWMLL5,B5,Forest Floor Litter,"13C,15N",YES,,4.33,604342,197491,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2115,-26.97,2172.04,,44.53,43.09,,BBWMLL5,B6,Forest Floor Litter,"13C,15N",YES,,4.34,604343,197492,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2122,-29.3,2158.91,,95.06,78.4,,BBWMLL5,B7,Forest Floor Litter,"13C,15N",YES,,4.7,604344,197493,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2124,-28.89,2198.28,,73.54,66.27,,BBWMLL5,B8,Forest Floor Litter,"13C,15N",YES,,4.73,604345,197494,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2125,-28.71,2106.32,,38.36,86.4,,BBWMLL5,B9,Forest Floor Litter,"13C,15N",YES,,4.79,604346,197495,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2133,-26.86,2106.32,,122.28,40.71,,BBWMLL5,B10,Forest Floor Litter,"13C,15N",YES,,4.26,604347,197496,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2134,-26.64,2145.78,,104.53,27.29,,BBWMLL5,B11,Forest Floor Litter,"13C,15N",YES,,4.32,604348,197497,,,,Copy of Spencer BBWM-LL5 0913,,,
LL 2135,-26.27,2224.49,,40.82,36.38,,BBWMLL5,B12,Forest Floor Litter,"13C,15N",YES,,4.48,604349,197498,,,,Copy of Spencer BBWM-LL5 0913,,,
RLL 2135,-26.27,2145.78,,40.94,35.51,,BBWMLL5,C1,Forest Floor Litter,"13C,15N",YES,,4.32,604350,197499,,,,Copy of Spencer BBWM-LL5 0913,,,
Blank,-31.42,34.76,Precision decreases for samples containing less than 100ugC,7.66,6.75,Too small,BBWMLL5,C2,BlankPellet,"13C,15N",N/A,,0,604351,197500,,,,Copy of Spencer BBWM-LL5 0913,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LL1002,-28.73,2515.15,,114.77,89.1,,BBWM LL TRAY 2,A1,Loose Litter,"13C, 15N",Yes,,5.16,488605,49702,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1004,-29.12,2649.8,,179.65,86.14,,BBWM LL TRAY 2,A2,Loose Litter,"13C, 15N",Yes,,4.98,488606,49703,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1005,-28.35,2458.98,,154.69,90,,BBWM LL TRAY 2,A3,Loose Litter,"13C, 15N",Yes,,4.71,488607,49704,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1012,-26.42,2326.8,,58.63,60.11,,BBWM LL TRAY 2,A4,Loose Litter,"13C, 15N",Yes,,4.67,488608,49705,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1014,-26.43,2354.94,,48.23,60.01,,BBWM LL TRAY 2,A5,Loose Litter,"13C, 15N",Yes,,4.29,488609,49706,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1015,-25.75,2467.41,,106.31,37.58,,BBWM LL TRAY 2,A6,Loose Litter,"13C, 15N",Yes,,4.75,488610,49707,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1022,-28.14,2352.13,,71.81,95.28,,BBWM LL TRAY 2,A7,Loose Litter,"13C, 15N",Yes,,5.13,488611,49708,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1024,-28.08,2397.13,,61.73,104.19,,BBWM LL TRAY 2,A8,Loose Litter,"13C, 15N",Yes,,5.23,488612,49709,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1025,-28.29,2554.45,,83.54,113.05,,BBWM LL TRAY 2,A9,Loose Litter,"13C, 15N",Yes,,5.09,488613,49710,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1032,-26.99,2363.38,,69.79,59.65,,BBWM LL TRAY 2,A10,Loose Litter,"13C, 15N",Yes,,4.45,488614,49711,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1033,-27.66,2554.45,,124.04,57.19,,BBWM LL TRAY 2,A11,Loose Litter,"13C, 15N",Yes,,4.7,488615,49712,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1034,-27.11,2551.64,,47.37,71.54,,BBWM LL TRAY 2,A12,Loose Litter,"13C, 15N",Yes,,4.69,488616,49713,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1035,-26.87,2503.92,,80.24,52.53,,BBWM LL TRAY 2,B1,Loose Litter,"13C, 15N",Yes,,4.58,488617,49717,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1102,-28.69,2436.49,,253.41,86.32,,BBWM LL TRAY 2,B2,Loose Litter,"13C, 15N",Yes,,5.23,488618,49718,,,,Copy of Spencer BBWMLLTray2 1112,,,
