plotID,species,species2,forest,"Health status (dead, dying, alive)",Damages,Damage severity,present in non+P sub-plot,present in +P sub-plot,Notes,dbh_cm,g_m2,dbh_class,watershed,forest_type,dbh_inches
EBHW1,AB,AB,HW,Dying,,,,x,nbs checked,8.128,0.005188685,1,EB,HW,3.2
EBHW1,AB,AB,HW,Alive,,,x,,nbs checked,5.334,0.00223458,1,EB,HW,2.1
EBHW1,AB,AB,HW,Alive,Broken top,,x,,nbs checked,11.684,0.01072193,1,EB,HW,4.6
EBHW1,AB,AB,HW,Alive,,,x,,nbs checked,6.858,0.003693898,1,EB,HW,2.7
EBHW1,AB,AB,HW,Alive,,,,,nbs checked,5.588,0.002452464,1,EB,HW,2.2
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,19.558,0.030042686,2,EB,HW,7.7
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,5.588,0.002452464,1,EB,HW,2.2
EBHW1,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,5.334,0.00223458,1,EB,HW,2.1
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,11.43,0.010260826,1,EB,HW,4.5
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,20.32,0.032429279,2,EB,HW,8
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,5.842,0.002680483,1,EB,HW,2.3
EBHW1,AB,AB,HW,Alive,"Broken top, BBD",Moderate,,,nbs checked,8.636,0.005857538,1,EB,HW,3.4
EBHW1,AB,AB,HW,Alive,Split trunk/scar,,,,nbs checked,24.13,0.04573035,2,EB,HW,9.5
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,10.16,0.00810732,1,EB,HW,4
EBHW1,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,5.842,0.002680483,1,EB,HW,2.3
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,19.812,0.030828083,2,EB,HW,7.8
EBHW1,AB,AB,HW,Alive,"Broken top, BBD",Slight,,,nbs checked,5.08,0.00202683,1,EB,HW,2
EBHW1,AB,AB,HW,Alive,healthy,,,,nbs checked,12.954,0.013179462,2,EB,HW,5.1
EBHW1,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,5.334,0.00223458,1,EB,HW,2.1
EBHW1,AB,AB,HW,Dying,BBD,Severe,,,nbs checked,22.606,0.040136299,2,EB,HW,8.9
EBHW1,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,11.684,0.01072193,1,EB,HW,4.6
EBHW1,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,11.684,0.01072193,1,EB,HW,4.6
EBHW1,AB,AB,HW,Alive,,,,,nbs checked,5.588,0.002452464,1,EB,HW,2.2
EBHW2,AB,AB,HW,Alive,BBD,,x,,nbs checked,8.128,0.005188685,1,EB,HW,3.2
EBHW2,AB,AB,HW,Alive,BBD,,x,,nbs checked,10.16,0.00810732,1,EB,HW,4
EBHW2,AB,AB,HW,Alive,,,x,,nbs checked,8.128,0.005188685,1,EB,HW,3.2
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,x,nbs checked,10.16,0.00810732,1,EB,HW,4
EBHW2,AB,AB,HW,Alive,,,,,nbs checked,7.62,0.004560367,1,EB,HW,3
EBHW2,AB,AB,HW,Dying,Broken top,,,,nbs checked,18.034,0.025543124,2,EB,HW,7.1
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,10.922,0.009369021,2,EB,HW,4.3
EBHW2,AB,AB,HW,Alive,Broken top,,,,nbs checked,21.336,0.03575328,1,EB,HW,8.4
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,8.89,0.006207167,1,EB,HW,3.5
EBHW2,AB,AB,HW,Alive,,,,,nbs checked,7.366,0.00426141,1,EB,HW,2.9
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,6.604,0.003425343,1,EB,HW,2.6
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,7.874,0.004869459,1,EB,HW,3.1
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,6.604,0.003425343,1,EB,HW,2.6
EBHW2,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,12.954,0.013179462,2,EB,HW,5.1
EBHW2,AB,AB,HW,Alive,BBD,Slight,,,nbs checked,5.334,0.00223458,1,EB,HW,2.1
EBHW2,AB,AB,HW,Alive,BBD,Moderate,,,nbs checked,20.066,0.031623614,2,EB,HW,7.9
EBHW2,AB,AB,HW,Alive,BBD,Severe,,,nbs checked,9.144,0.006566929,1,EB,HW,3.6
